gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
B4GALT3,condition-specific,1.0,3,Rest
B4GALT4,condition-specific,1.0,2,Stim8hr
B4GALT5,condition-specific,0.614,3,Rest
B4GALT7,condition-specific,1.0,2,Stim8hr
B4GAT1,global,0.5,3,Rest
B9D2,condition-specific,,2,Rest
BABAM1,condition-specific,0.667,3,Stim8hr
BABAM2,condition-specific,0.706,3,Stim48hr
BACH1,condition-specific,0.75,2,Rest
BACH2,condition-specific,0.824,2,Stim8hr
BAD,global,0.429,3,Rest
BAG1,condition-specific,0.769,3,Stim8hr
BAG2,condition-specific,,3,Stim8hr
BAG3,condition-specific,1.0,3,Rest
BAG5,condition-specific,0.7,3,Stim8hr
BAHD1,condition-specific,0.758,3,Stim48hr
BAIAP2,global,0.5,3,Rest
BAK1,condition-specific,1.0,3,Stim8hr
BAP1,condition-specific,0.609,2,Stim48hr
BATF,global,0.407,3,Stim8hr
BATF3,global,0.429,3,Stim48hr
BAX,condition-specific,0.636,3,Stim8hr
BAZ1A,condition-specific,0.83,3,Rest
BAZ1B,condition-specific,0.667,3,Rest
BAZ2A,global,0.4,3,Rest
BBC3,condition-specific,1.0,3,Rest
BBIP1,global,0.5,3,Stim8hr
BBLN,condition-specific,1.0,3,Stim8hr
BBS1,global,0.571,3,Stim8hr
BBS10,global,0.545,3,Stim8hr
BBS2,global,0.4,3,Stim8hr
BBS4,condition-specific,,2,Stim8hr
BBS7,global,0.4,3,Stim8hr
BBS9,condition-specific,1.0,3,Rest
BBX,condition-specific,0.673,3,Stim48hr
BCAP29,condition-specific,0.881,3,Stim8hr
BCAP31,condition-specific,1.0,3,Stim8hr
BCAS3,global,0.571,3,Stim8hr
BCAS4,condition-specific,0.667,3,Stim8hr
BCAT1,condition-specific,1.0,1,Stim8hr
BCAT2,condition-specific,0.922,3,Stim8hr
BCDIN3D,condition-specific,0.889,3,Stim48hr
BCKDHA,condition-specific,1.0,1,Stim8hr
BCKDHB,global,0.562,3,Stim8hr
BCKDK,condition-specific,1.0,3,Stim8hr
BCL10,global,0.537,3,Stim8hr
BCL2,condition-specific,0.833,3,Rest
BCL2A1,condition-specific,1.0,2,Stim8hr
BCL2L1,condition-specific,0.875,3,Stim48hr
BCL2L11,global,0.5,2,Stim8hr
BCL2L12,global,0.5,3,Rest
BCL2L13,condition-specific,1.0,2,Stim48hr
BCL3,global,0.569,3,Rest
BCL6,condition-specific,0.615,3,Stim48hr
BCL7A,global,0.5,3,Stim48hr
BCL7B,condition-specific,,3,Stim8hr
BCL7C,global,0.5,3,Rest
BCL9,condition-specific,0.818,2,Stim8hr
BCL9L,condition-specific,0.85,3,Rest
BCLAF1,global,0.435,3,Stim48hr
BCOR,global,0.38,3,Stim8hr
BCORL1,condition-specific,1.0,2,Stim48hr
BCR,condition-specific,1.0,3,Rest
BCS1L,global,0.465,3,Stim48hr
BDH1,global,0.5,3,Stim8hr
BDH2,global,0.5,3,Rest
BEGAIN,condition-specific,1.0,1,Stim8hr
BEND3,condition-specific,0.619,2,Stim48hr
BET1L,global,0.4,3,Stim8hr
BEX3,condition-specific,0.92,3,Rest
BEX4,global,0.5,3,Stim48hr
BEX5,condition-specific,1.0,1,Stim48hr
BFAR,condition-specific,0.6,3,Stim8hr
BHLHE40,global,0.481,3,Stim8hr
BICD1,condition-specific,0.619,3,Stim48hr
BICD2,condition-specific,,3,Stim8hr
BICDL1,condition-specific,0.929,3,Stim48hr
BICRA,global,0.472,3,Stim48hr
BID,condition-specific,,3,Stim8hr
BIN1,condition-specific,1.0,2,Rest
BIN2,condition-specific,0.667,3,Stim48hr
BIN3,condition-specific,1.0,3,Stim8hr
BIRC2,condition-specific,0.667,3,Rest
BIRC3,condition-specific,0.6,3,Rest
BIRC6,condition-specific,0.714,3,Rest
BIVM,condition-specific,0.6,3,Stim48hr
BLCAP,condition-specific,0.714,3,Stim48hr
BLMH,global,0.333,3,Stim8hr
BLOC1S1,global,0.5,3,Stim8hr
BLOC1S2,global,0.426,3,Stim48hr
BLOC1S4,condition-specific,0.953,3,Stim8hr
BLOC1S5,condition-specific,1.0,3,Rest
BLOC1S6,condition-specific,0.8,3,Rest
BLTP1,condition-specific,1.0,3,Rest
BLTP2,global,0.553,3,Stim8hr
BLTP3A,global,0.5,3,Stim8hr
BLTP3B,condition-specific,0.667,3,Stim8hr
BLVRA,condition-specific,1.0,3,Stim48hr
BLVRB,condition-specific,,2,Stim48hr
BLZF1,condition-specific,0.802,3,Rest
BMAL1,global,0.5,3,Stim8hr
BMAL2,condition-specific,1.0,3,Stim8hr
BMERB1,condition-specific,0.667,2,Stim48hr
BMF,condition-specific,0.667,3,Stim48hr
BMI1,condition-specific,0.664,3,Stim8hr
BMP2K,condition-specific,,3,Stim48hr
BMPR1A,condition-specific,1.0,3,Stim8hr
BNIP2,condition-specific,0.6,3,Rest
BNIP3L,global,0.5,3,Stim8hr
BOD1,condition-specific,0.667,3,Rest
BOLA1,global,0.571,3,Stim48hr
BOLA3,global,0.5,3,Rest
BORCS5,condition-specific,0.6,3,Stim8hr
BORCS6,condition-specific,0.714,3,Stim48hr
BORCS7,global,0.333,3,Stim8hr
BORCS8,global,0.474,3,Rest
BPGM,condition-specific,0.909,3,Rest
BPHL,global,0.333,3,Rest
BPNT1,condition-specific,0.967,3,Rest
BPNT2,condition-specific,1.0,1,Stim48hr
BPTF,global,0.423,3,Stim8hr
BRAF,condition-specific,1.0,3,Rest
BRAP,global,0.515,3,Rest
BRAT1,global,0.572,3,Rest
BRCC3,global,0.5,3,Stim8hr
BRD1,global,0.594,3,Stim8hr
BRD10,condition-specific,1.0,2,Rest
BRD2,global,0.462,3,Stim48hr
BRD3,condition-specific,,3,Stim8hr
BRD4,condition-specific,0.625,2,Stim48hr
BRD7,condition-specific,0.608,3,Rest
BRD8,global,0.575,3,Stim8hr
BRD9,global,0.418,3,Rest
BRF2,condition-specific,1.0,3,Stim8hr
BRI3BP,condition-specific,0.833,3,Stim48hr
BRIP1,condition-specific,0.64,2,Rest
BRK1,global,0.55,3,Stim8hr
BRMS1,global,0.501,3,Stim48hr
BRMS1L,global,0.5,3,Stim48hr
BROX,global,0.333,3,Rest
BRPF1,global,0.497,3,Stim8hr
BRPF3,global,0.5,3,Stim8hr
BRSK1,condition-specific,1.0,1,Stim48hr
BRWD1,condition-specific,0.639,3,Stim8hr
BRWD3,condition-specific,1.0,3,Stim48hr
BSCL2,condition-specific,1.0,1,Stim8hr
BSDC1,condition-specific,,3,Stim8hr
BSG,condition-specific,1.0,3,Stim48hr
BSPRY,condition-specific,,1,Stim48hr
BST2,global,0.5,3,Stim48hr
BTAF1,global,0.389,3,Stim8hr
BTBD1,global,0.375,3,Rest
BTBD10,condition-specific,0.75,3,Stim8hr
BTBD2,condition-specific,1.0,1,Rest
BTBD3,global,0.5,2,Stim8hr
BTBD6,global,0.455,3,Stim8hr
BTBD7,condition-specific,1.0,2,Stim8hr
BTD,global,0.5,3,Stim8hr
BTF3L4,global,0.5,3,Stim48hr
BTG2,global,0.5,3,Stim48hr
BTG3,global,0.5,3,Rest
BTLA,condition-specific,1.0,3,Rest
BTN2A1,condition-specific,0.6,3,Stim8hr
BTN2A2,condition-specific,,1,Stim48hr
BTN3A1,condition-specific,0.75,2,Rest
BTN3A2,condition-specific,0.75,3,Rest
BTN3A3,global,0.54,3,Rest
BTRC,condition-specific,0.857,2,Stim8hr
BUD23,condition-specific,1.0,1,Stim8hr
BZW1,global,0.429,3,Rest
BZW2,condition-specific,0.956,3,Stim48hr
C10orf88,condition-specific,0.737,3,Stim8hr
C11orf21,condition-specific,1.0,1,Rest
C11orf24,condition-specific,1.0,3,Stim48hr
C11orf54,global,0.562,3,Rest
C11orf58,condition-specific,0.9,3,Stim48hr
C11orf68,global,0.414,3,Stim48hr
C11orf71,global,0.333,3,Stim8hr
C12orf43,condition-specific,0.7,3,Stim8hr
C12orf57,global,0.5,3,Rest
C12orf75,global,0.48,3,Rest
C12orf76,global,0.4,3,Stim48hr
C14orf119,global,0.515,3,Stim8hr
C14orf28,condition-specific,1.0,2,Rest
C14orf93,condition-specific,0.667,3,Rest
C15orf39,global,0.5,3,Stim48hr
C15orf40,condition-specific,1.0,3,Stim48hr
C15orf48,condition-specific,1.0,1,Stim48hr
C15orf61,global,0.464,3,Stim48hr
C16orf54,condition-specific,,2,Stim8hr
C16orf87,global,0.499,3,Stim8hr
C16orf95,condition-specific,1.0,1,Stim48hr
C17orf58,condition-specific,,2,Stim8hr
C17orf75,condition-specific,0.667,3,Stim8hr
C18orf21,condition-specific,0.6,3,Rest
C18orf32,global,0.503,3,Stim8hr
C18orf54,condition-specific,0.667,3,Rest
C19orf12,condition-specific,0.667,3,Stim48hr
C19orf47,global,0.5,3,Stim48hr
C19orf53,global,0.333,3,Stim8hr
C1D,global,0.399,3,Stim8hr
C1GALT1,global,0.5,3,Stim48hr
C1GALT1C1,condition-specific,0.667,3,Stim48hr
C1QBP,condition-specific,1.0,3,Rest
C1R,condition-specific,1.0,1,Stim48hr
C1RL,global,0.556,3,Stim48hr
C1orf122,global,0.4,3,Rest
C1orf159,global,0.457,3,Stim8hr
C1orf174,condition-specific,0.667,3,Stim8hr
C1orf198,condition-specific,1.0,2,Stim48hr
C1orf21,condition-specific,0.981,3,Rest
C1orf216,condition-specific,0.985,2,Rest
C1orf35,condition-specific,0.75,2,Stim8hr
C1orf43,condition-specific,0.6,3,Rest
C1orf52,condition-specific,0.667,3,Rest
C1orf74,global,0.5,2,Stim48hr
C20orf96,global,0.524,3,Rest
C21orf58,condition-specific,0.941,3,Rest
C21orf91,condition-specific,,3,Stim8hr
C2CD2L,condition-specific,0.705,3,Stim8hr
C2CD3,global,0.538,3,Stim8hr
C2CD5,condition-specific,0.968,3,Stim8hr
C2orf15,condition-specific,1.0,1,Stim48hr
C2orf42,condition-specific,1.0,2,Stim8hr
C2orf49,global,0.389,3,Stim48hr
C2orf68,condition-specific,,3,Stim8hr
C2orf69,condition-specific,1.0,3,Stim8hr
C2orf74,global,0.333,3,Stim8hr
C2orf76,global,0.5,3,Stim48hr
C3AR1,condition-specific,1.0,1,Rest
C3orf18,condition-specific,0.762,2,Rest
C3orf33,condition-specific,1.0,1,Stim8hr
C3orf38,condition-specific,0.667,3,Stim8hr
C3orf52,condition-specific,,3,Stim8hr
C4orf3,condition-specific,1.0,3,Stim8hr
C4orf33,condition-specific,0.636,2,Stim48hr
C4orf46,global,0.375,3,Rest
C5orf15,global,0.571,3,Stim48hr
C5orf24,condition-specific,1.0,2,Stim8hr
C5orf34,condition-specific,0.75,3,Stim48hr
C5orf63,condition-specific,1.0,2,Rest
C6orf120,global,0.5,3,Stim48hr
C6orf136,condition-specific,,3,Stim8hr
C6orf226,condition-specific,1.0,3,Stim48hr
C6orf47,global,0.455,3,Stim8hr
C6orf62,condition-specific,1.0,2,Rest
C6orf89,condition-specific,0.667,3,Stim8hr
C7orf50,condition-specific,1.0,1,Stim8hr
C8orf33,condition-specific,0.731,3,Rest
C8orf76,condition-specific,,3,Stim8hr
C8orf88,condition-specific,1.0,1,Stim48hr
C9orf40,condition-specific,,2,Rest
C9orf72,global,0.571,3,Rest
C9orf78,global,0.559,2,Stim48hr
C9orf85,condition-specific,0.75,3,Stim8hr
CA11,condition-specific,1.0,1,Stim48hr
CA5B,condition-specific,0.667,2,Rest
CA6,condition-specific,1.0,1,Rest
CAAP1,condition-specific,0.865,3,Stim48hr
CAB39,condition-specific,0.805,3,Stim8hr
CABIN1,global,0.479,3,Stim8hr
CABLES2,condition-specific,1.0,3,Stim48hr
CACNB1,global,0.5,3,Stim8hr
CACNB3,condition-specific,1.0,1,Stim48hr
CACUL1,condition-specific,1.0,3,Stim48hr
CAD,condition-specific,0.804,2,Stim8hr
CALCOCO1,condition-specific,1.0,3,Stim8hr
CALCOCO2,condition-specific,0.828,3,Stim8hr
CALHM2,global,0.375,3,Rest
CALHM6,global,0.482,3,Rest
CALM1,condition-specific,0.909,3,Stim8hr
CALM2,condition-specific,1.0,3,Rest
CALM3,condition-specific,,3,Stim8hr
CALR,global,0.574,3,Rest
CALU,condition-specific,0.667,3,Stim48hr
CAMK1,global,0.448,3,Stim48hr
CAMK2D,condition-specific,0.667,3,Rest
CAMK2G,condition-specific,1.0,3,Rest
CAMK4,global,0.5,3,Stim8hr
CAMKMT,global,0.5,3,Stim8hr
CAMLG,condition-specific,0.735,2,Stim48hr
CAMSAP1,global,0.574,3,Stim8hr
CAMSAP2,condition-specific,1.0,1,Stim48hr
CAMTA1,global,0.5,3,Rest
CAMTA2,condition-specific,1.0,1,Stim48hr
CAND1,global,0.396,3,Stim8hr
CANT1,condition-specific,1.0,3,Stim8hr
CANX,global,0.574,3,Stim48hr
CAP1,global,0.512,3,Rest
CAPN1,condition-specific,1.0,3,Stim48hr
CAPN15,condition-specific,1.0,3,Stim8hr
CAPN2,condition-specific,1.0,3,Stim8hr
CAPN7,condition-specific,1.0,3,Stim8hr
CAPNS1,global,0.5,3,Stim48hr
CAPZA1,global,0.5,3,Stim8hr
CAPZA2,condition-specific,1.0,3,Stim48hr
CARD11,global,0.446,3,Stim48hr
CARD16,condition-specific,,1,Rest
CARD19,global,0.5,3,Stim48hr
CARD6,global,0.503,3,Stim48hr
CARHSP1,global,0.4,3,Rest
CARM1,global,0.55,3,Stim48hr
CARMIL1,condition-specific,1.0,1,Stim48hr
CARMIL2,global,0.56,3,Stim8hr
CARNMT1,global,0.496,3,Stim48hr
CARNS1,condition-specific,1.0,1,Stim48hr
CARS2,condition-specific,0.983,3,Stim48hr
CASC3,global,0.387,3,Stim8hr
CASD1,condition-specific,1.0,1,Stim8hr
CASK,global,0.554,3,Stim48hr
CASP10,condition-specific,0.667,3,Rest
CASP2,global,0.333,3,Rest
CASP3,condition-specific,0.968,3,Stim8hr
CASP4,condition-specific,,3,Stim8hr
CASP6,condition-specific,0.75,3,Stim48hr
CASP7,condition-specific,1.0,3,Rest
CASP8,condition-specific,1.0,3,Stim48hr
CASP9,condition-specific,0.996,3,Rest
CASS4,condition-specific,,1,Stim8hr
CAST,condition-specific,1.0,1,Stim48hr
CASTOR1,condition-specific,0.833,2,Rest
CAT,condition-specific,0.8,3,Stim8hr
CATSPERG,condition-specific,1.0,1,Stim48hr
CAV1,condition-specific,1.0,1,Rest
CAVIN3,condition-specific,0.714,2,Stim8hr
CBFA2T2,condition-specific,0.993,3,Rest
CBFB,global,0.366,3,Stim48hr
CBL,condition-specific,0.767,3,Stim8hr
CBLB,condition-specific,0.848,3,Stim8hr
CBLL1,global,0.5,3,Stim8hr
CBR1,condition-specific,1.0,3,Rest
CBR3,condition-specific,1.0,3,Stim8hr
CBR4,condition-specific,,3,Stim8hr
CBS,condition-specific,,1,Stim48hr
CBX1,condition-specific,0.878,3,Stim8hr
CBX3,global,0.449,3,Stim48hr
CBX4,condition-specific,1.0,3,Stim48hr
CBX5,condition-specific,0.667,3,Stim48hr
CBX6,global,0.5,3,Stim8hr
CBY1,global,0.333,3,Stim48hr
CC2D1A,global,0.333,3,Stim8hr
CC2D1B,global,0.5,3,Stim8hr
CCAR1,condition-specific,0.62,2,Rest
CCAR2,condition-specific,0.667,3,Stim8hr
CCDC102A,global,0.375,3,Stim48hr
CCDC106,condition-specific,1.0,3,Stim48hr
CCDC107,global,0.571,3,Stim48hr
CCDC112,condition-specific,,1,Rest
CCDC117,condition-specific,,3,Stim8hr
CCDC12,condition-specific,1.0,1,Stim8hr
CCDC124,condition-specific,0.6,3,Stim8hr
CCDC125,condition-specific,0.667,3,Rest
CCDC126,global,0.5,3,Stim8hr
CCDC127,global,0.412,3,Stim8hr
CCDC134,condition-specific,0.74,3,Stim48hr
CCDC136,condition-specific,1.0,1,Stim48hr
CCDC137,condition-specific,0.833,2,Rest
CCDC138,condition-specific,0.833,3,Stim8hr
CCDC14,condition-specific,1.0,3,Stim8hr
CCDC15,condition-specific,,3,Rest
CCDC150,condition-specific,1.0,3,Rest
CCDC152,condition-specific,1.0,3,Stim8hr
CCDC159,condition-specific,1.0,1,Stim48hr
CCDC167,condition-specific,1.0,3,Stim48hr
CCDC171,condition-specific,1.0,1,Stim48hr
CCDC18,global,0.5,3,Stim8hr
CCDC186,condition-specific,1.0,3,Stim8hr
CCDC22,condition-specific,0.843,3,Stim48hr
CCDC25,global,0.545,3,Stim8hr
CCDC28A,condition-specific,,1,Stim48hr
CCDC28B,condition-specific,0.895,3,Rest
CCDC32,condition-specific,0.75,3,Stim8hr
CCDC34,condition-specific,,3,Stim8hr
CCDC43,condition-specific,0.667,3,Stim8hr
CCDC47,global,0.5,3,Stim8hr
CCDC50,condition-specific,0.667,2,Stim48hr
CCDC51,condition-specific,0.8,2,Stim8hr
CCDC59,condition-specific,0.76,3,Stim8hr
CCDC6,global,0.429,3,Stim8hr
CCDC61,condition-specific,1.0,3,Stim48hr
CCDC66,condition-specific,1.0,3,Stim8hr
CCDC69,global,0.457,3,Stim8hr
CCDC7,global,0.556,3,Stim8hr
CCDC71,condition-specific,1.0,3,Stim8hr
CCDC71L,condition-specific,1.0,3,Stim8hr
CCDC77,condition-specific,1.0,1,Stim48hr
CCDC82,condition-specific,0.667,3,Rest
CCDC85B,condition-specific,0.667,3,Stim8hr
CCDC85C,condition-specific,1.0,3,Rest
CCDC88B,condition-specific,0.667,3,Rest
CCDC88C,condition-specific,0.833,3,Stim48hr
CCDC9,condition-specific,0.65,3,Stim48hr
CCDC90B,condition-specific,1.0,3,Stim48hr
CCDC91,global,0.467,3,Stim48hr
CCDC92,global,0.333,3,Rest
CCDC93,condition-specific,0.677,3,Stim48hr
CCDC97,condition-specific,,3,Rest
CCHCR1,condition-specific,0.6,3,Stim8hr
CCL28,condition-specific,0.6,3,Stim48hr
CCL3,condition-specific,1.0,1,Stim48hr
CCL4,condition-specific,,2,Stim48hr
CCL5,condition-specific,0.822,3,Rest
CCM2,condition-specific,1.0,3,Stim8hr
CCNA1,condition-specific,1.0,1,Stim48hr
CCNA2,global,0.49,3,Stim8hr
CCNB1,global,0.5,3,Rest
CCNB1IP1,condition-specific,0.737,3,Stim8hr
CCNB2,global,0.385,3,Stim48hr
CCNC,global,0.45,3,Stim48hr
CCND2,global,0.506,3,Stim8hr
CCND3,condition-specific,1.0,3,Stim48hr
CCNDBP1,condition-specific,,3,Stim8hr
CCNE1,condition-specific,0.733,3,Stim8hr
CCNE2,condition-specific,1.0,1,Stim48hr
CCNF,condition-specific,0.657,3,Rest
CCNG1,condition-specific,0.667,3,Stim8hr
CCNG2,condition-specific,0.657,2,Stim48hr
CCNI,global,0.444,3,Rest
CCNI2,condition-specific,0.833,3,Stim48hr
CCNJ,global,0.5,3,Stim8hr
CCNK,global,0.563,3,Stim8hr
CCNL1,global,0.5,3,Stim48hr
CCNL2,condition-specific,,1,Stim8hr
CCNQ,global,0.47,3,Stim8hr
CCNT1,condition-specific,0.925,3,Stim48hr
CCNT2,global,0.375,3,Rest
CCNY,global,0.5,3,Stim8hr
CCNYL1,condition-specific,1.0,3,Stim8hr
CCP110,condition-specific,0.688,3,Rest
CCPG1,condition-specific,1.0,3,Rest
CCR1,condition-specific,1.0,1,Stim48hr
CCR2,condition-specific,0.682,3,Rest
CCR4,condition-specific,0.888,3,Rest
CCR5,global,0.5,3,Stim48hr
CCR7,global,0.333,3,Stim48hr
CCR8,condition-specific,1.0,1,Stim48hr
CCS,condition-specific,0.704,3,Stim8hr
CCSAP,global,0.5,3,Stim48hr
CCSER2,condition-specific,1.0,3,Stim48hr
CD101,condition-specific,,1,Stim48hr
CD109,global,0.5,3,Rest
CD151,global,0.429,3,Stim8hr
CD164,global,0.5,3,Rest
CD2,global,0.596,3,Stim48hr
CD200,global,0.5,2,Stim48hr
CD200R1,global,0.571,3,Stim48hr
CD226,condition-specific,1.0,3,Stim8hr
CD247,condition-specific,0.839,3,Stim8hr
CD27,condition-specific,1.0,3,Stim8hr
CD274,global,0.572,3,Stim8hr
CD276,condition-specific,1.0,2,Stim48hr
CD28,global,0.544,3,Stim48hr
CD2AP,condition-specific,0.667,3,Stim48hr
CD2BP2,global,0.465,3,Rest
CD300A,global,0.5,2,Rest
CD320,condition-specific,1.0,3,Stim48hr
CD37,global,0.476,3,Stim8hr
CD38,global,0.375,3,Stim48hr
CD3D,condition-specific,0.999,2,Stim8hr
CD3E,condition-specific,0.782,3,Stim8hr
CD3G,condition-specific,0.783,3,Stim8hr
CD4,condition-specific,,3,Rest
CD40LG,condition-specific,0.848,3,Stim48hr
CD44,condition-specific,1.0,3,Stim8hr
CD46,condition-specific,1.0,3,Stim8hr
CD47,global,0.4,3,Stim48hr
CD48,condition-specific,0.773,3,Stim8hr
CD5,condition-specific,0.767,3,Stim48hr
CD52,condition-specific,0.667,3,Rest
CD53,condition-specific,0.947,3,Stim8hr
CD55,global,0.333,3,Stim8hr
CD58,condition-specific,,3,Rest
CD6,condition-specific,0.84,3,Stim8hr
CD63,condition-specific,1.0,3,Stim8hr
CD68,condition-specific,1.0,1,Stim48hr
CD69,condition-specific,0.714,3,Stim8hr
CD7,global,0.583,3,Rest
CD70,global,0.4,3,Stim48hr
CD72,condition-specific,,1,Stim48hr
CD74,condition-specific,1.0,3,Stim8hr
CD79B,condition-specific,0.833,3,Stim48hr
CD80,condition-specific,1.0,3,Stim48hr
CD81,global,0.5,3,Rest
CD83,condition-specific,1.0,3,Rest
CD84,condition-specific,1.0,3,Rest
CD9,condition-specific,0.769,2,Rest
CD96,global,0.5,3,Stim48hr
CD99,global,0.588,3,Stim48hr
CD99L2,condition-specific,0.696,2,Stim48hr
CDADC1,condition-specific,0.819,3,Rest
CDC123,condition-specific,0.743,3,Stim8hr
CDC14A,condition-specific,1.0,3,Rest
CDC25A,global,0.389,3,Rest
CDC25B,global,0.504,3,Rest
CDC25C,condition-specific,0.667,3,Stim8hr
CDC34,condition-specific,0.867,3,Rest
CDC37L1,condition-specific,0.75,3,Stim48hr
CDC42BPA,condition-specific,1.0,1,Stim48hr
CDC42EP3,condition-specific,1.0,3,Stim8hr
CDC42SE1,condition-specific,0.714,3,Rest
CDC42SE2,global,0.385,3,Stim8hr
CDCA2,condition-specific,0.726,3,Stim8hr
CDCA3,global,0.47,3,Rest
CDCA4,condition-specific,1.0,3,Stim48hr
CDCA7,global,0.5,3,Rest
CDCA7L,global,0.478,3,Stim8hr
CDIP1,condition-specific,0.714,3,Stim8hr
CDIPT,condition-specific,0.942,3,Stim8hr
CDK11A,condition-specific,1.0,1,Stim8hr
CDK13,global,0.42,3,Stim48hr
CDK16,condition-specific,1.0,3,Rest
CDK17,condition-specific,0.667,3,Stim48hr
CDK19,global,0.389,3,Stim48hr
CDK2,condition-specific,0.859,3,Stim48hr
CDK2AP1,condition-specific,,3,Rest
CDK2AP2,condition-specific,0.875,3,Stim8hr
CDK4,global,0.444,3,Stim48hr
CDK5R1,condition-specific,1.0,1,Stim48hr
CDK5RAP1,condition-specific,1.0,3,Rest
CDK5RAP2,condition-specific,,3,Rest
CDK5RAP3,global,0.568,3,Stim8hr
CDK6,condition-specific,1.0,1,Stim8hr
CDK8,global,0.571,3,Rest
CDK9,condition-specific,1.0,3,Stim8hr
CDKAL1,global,0.407,3,Stim8hr
CDKN1A,condition-specific,0.923,3,Stim8hr
CDKN2A,condition-specific,1.0,3,Rest
CDKN2AIP,global,0.358,3,Stim48hr
CDKN2AIPNL,condition-specific,0.75,3,Stim48hr
CDKN2C,condition-specific,0.667,3,Rest
CDKN3,condition-specific,0.75,3,Rest
CDPF1,condition-specific,0.667,3,Rest
CDR2,condition-specific,1.0,3,Stim8hr
CDS2,condition-specific,0.99,2,Stim8hr
CDV3,global,0.5,3,Rest
CDYL,global,0.5,3,Stim48hr
CDYL2,condition-specific,0.667,3,Stim8hr
CEACAM1,condition-specific,1.0,1,Rest
CEACAM21,condition-specific,1.0,3,Stim48hr
CEBPB,condition-specific,0.6,3,Stim48hr
CELF1,condition-specific,0.786,3,Stim48hr
CELF2,global,0.37,3,Rest
CEMIP2,global,0.5,3,Stim8hr
CENPB,condition-specific,0.6,3,Stim48hr
CENPE,global,0.504,2,Stim8hr
CENPF,condition-specific,1.0,3,Stim48hr
CENPJ,condition-specific,1.0,1,Stim48hr
CENPQ,condition-specific,1.0,1,Stim48hr
CENPS,global,0.5,3,Stim48hr
CENPU,global,0.5,3,Stim48hr
CENPV,global,0.588,3,Rest
CENPW,condition-specific,0.833,2,Rest
CENPX,condition-specific,0.667,3,Stim8hr
CEP104,condition-specific,0.864,3,Rest
CEP120,global,0.583,3,Rest
CEP128,condition-specific,1.0,3,Stim8hr
CEP131,global,0.333,3,Rest
CEP135,condition-specific,0.765,3,Stim48hr
CEP15,global,0.5,3,Rest
CEP162,condition-specific,1.0,3,Stim8hr
CEP164,condition-specific,0.667,3,Rest
CEP170,condition-specific,0.778,3,Stim8hr
CEP19,global,0.406,3,Rest
CEP20,condition-specific,,3,Stim8hr
CEP250,condition-specific,,3,Rest
CEP290,global,0.4,3,Rest
CEP295,condition-specific,,1,Stim48hr
CEP350,global,0.468,3,Stim8hr
CEP41,condition-specific,0.667,3,Rest
CEP43,global,0.583,3,Rest
CEP44,condition-specific,0.959,3,Rest
CEP55,condition-specific,0.977,3,Stim48hr
CEP57,condition-specific,1.0,2,Stim8hr
CEP57L1,condition-specific,,3,Stim48hr
CEP68,condition-specific,1.0,3,Rest
CEP70,condition-specific,1.0,2,Rest
CEP72,condition-specific,0.75,3,Stim8hr
CEP76,condition-specific,0.8,3,Rest
CEP78,condition-specific,0.625,3,Stim48hr
CEP83,global,0.463,3,Stim48hr
CEP85,condition-specific,1.0,1,Stim8hr
CEP85L,condition-specific,1.0,3,Stim48hr
CEP89,condition-specific,0.692,3,Stim48hr
CEP95,condition-specific,1.0,1,Stim8hr
CEP97,global,0.333,3,Rest
CEPT1,condition-specific,0.908,3,Stim48hr
CERK,condition-specific,1.0,3,Rest
CERS2,global,0.538,3,Stim48hr
CERS4,global,0.4,3,Stim48hr
CERS5,condition-specific,,3,Stim48hr
CERS6,global,0.333,3,Stim8hr
CERT1,global,0.586,3,Stim8hr
CES2,condition-specific,0.6,3,Stim8hr
CES4A,global,0.5,3,Rest
CETN2,global,0.571,3,Stim48hr
CETN3,condition-specific,,3,Rest
CFAP20,global,0.495,3,Stim48hr
CFAP298,condition-specific,0.746,2,Stim8hr
CFAP36,condition-specific,0.867,3,Stim8hr
CFAP410,condition-specific,,1,Rest
CFAP418,condition-specific,1.0,2,Stim48hr
CFAP68,condition-specific,0.6,3,Stim8hr
CFAP97,condition-specific,0.997,3,Rest
CFL2,condition-specific,0.833,3,Stim8hr
CFP,condition-specific,,1,Rest
CGAS,condition-specific,1.0,3,Stim48hr
CGGBP1,global,0.51,2,Rest
CGREF1,condition-specific,,2,Stim48hr
CGRRF1,condition-specific,1.0,3,Stim8hr
CHAC1,condition-specific,,1,Stim48hr
CHAC2,condition-specific,0.8,3,Stim8hr
CHAMP1,global,0.462,3,Stim48hr
CHCHD1,condition-specific,1.0,3,Stim8hr
CHCHD2,condition-specific,,2,Stim48hr
CHCHD5,condition-specific,1.0,3,Stim48hr
CHCHD6,condition-specific,,2,Stim8hr
CHCHD7,global,0.5,3,Stim48hr
CHD2,global,0.432,3,Stim48hr
CHD3,condition-specific,1.0,3,Stim48hr
CHD4,global,0.484,3,Stim8hr
CHD6,condition-specific,0.667,3,Stim8hr
CHD7,global,0.499,3,Stim8hr
CHD8,condition-specific,1.0,1,Stim48hr
CHDH,condition-specific,1.0,1,Stim48hr
CHEK2,condition-specific,0.97,2,Rest
CHFR,condition-specific,1.0,3,Stim8hr
CHI3L2,condition-specific,1.0,2,Stim48hr
CHIC1,condition-specific,1.0,3,Stim8hr
