perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
TAF6L,Stim8hr,SAGA/chromatin,HPSE,-1.212,0.276,-0.971,0.247,0.0,0.941
TAF6L,Stim8hr,SAGA/chromatin,GLRX,1.238,0.147,1.156,0.142,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,INSM1,-1.527,0.439,-0.937,0.344,0.003,0.847
TAF6L,Stim8hr,SAGA/chromatin,PEAK1,-0.812,0.146,-0.759,0.141,0.0,0.892
TAF6L,Stim8hr,SAGA/chromatin,TLR1,1.05,0.286,0.829,0.254,0.999,0.832
TAF6L,Stim8hr,SAGA/chromatin,FAM174A,0.785,0.113,0.754,0.111,1.0,0.937
TAF6L,Stim8hr,SAGA/chromatin,GCSAM,2.043,0.34,1.483,0.29,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,PCCA,0.866,0.144,0.811,0.139,1.0,0.948
TAF6L,Stim8hr,SAGA/chromatin,CTDSP2,1.145,0.162,1.055,0.156,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,C11orf68,0.784,0.096,0.761,0.095,1.0,0.969
TAF6L,Stim8hr,SAGA/chromatin,MSRA,1.057,0.149,0.985,0.144,1.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,ZNF575,0.98,0.224,0.842,0.208,1.0,0.892
TAF6L,Stim8hr,SAGA/chromatin,PLAAT3,2.088,0.488,1.175,0.366,0.999,0.946
TAF6L,Stim8hr,SAGA/chromatin,B3GNT5,-1.829,0.343,-1.322,0.291,0.0,0.994
TAF6L,Stim8hr,SAGA/chromatin,ZBTB38,0.88,0.157,0.814,0.151,1.0,0.936
TAF6L,Stim8hr,SAGA/chromatin,MAGEF1,0.839,0.122,0.8,0.12,1.0,0.964
TAF6L,Stim8hr,SAGA/chromatin,SAMD9L,1.406,0.22,1.214,0.204,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,TGIF1,-0.779,0.153,-0.724,0.148,0.0,0.826
TAF6L,Stim8hr,SAGA/chromatin,ANXA2R,1.248,0.187,1.12,0.177,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,TMEM187,1.018,0.178,0.923,0.17,1.0,0.977
TAF6L,Stim8hr,SAGA/chromatin,POGLUT3,1.256,0.118,1.202,0.115,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,HYI,1.287,0.277,1.029,0.248,1.0,0.963
TAF6L,Stim8hr,SAGA/chromatin,TMEM107,1.023,0.224,0.879,0.208,1.0,0.921
TAF6L,Stim8hr,SAGA/chromatin,GIMAP7,-1.097,0.167,-1.005,0.16,0.0,0.996
TAF6L,Stim8hr,SAGA/chromatin,APOBEC3B,1.711,0.262,1.398,0.237,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,AKAP5,1.69,0.324,1.259,0.279,1.0,0.992
TAF6L,Stim8hr,SAGA/chromatin,CCR8,-1.789,0.526,-0.941,0.381,0.007,0.825
TAF6L,Stim8hr,SAGA/chromatin,SHISA2,2.058,0.596,0.953,0.406,0.991,0.818
TAF6L,Stim8hr,SAGA/chromatin,NQO1,1.483,0.176,1.347,0.167,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,F2R,1.445,0.367,1.003,0.306,0.999,0.914
TAF6L,Stim8hr,SAGA/chromatin,SGSH,0.821,0.17,0.751,0.162,1.0,0.846
TAF6L,Stim8hr,SAGA/chromatin,PHLDA2,1.885,0.259,1.547,0.234,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,SLC9A9,2.46,0.435,1.52,0.342,1.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,TMEM30B,1.385,0.344,1.0,0.292,1.0,0.922
TAF6L,Stim8hr,SAGA/chromatin,MXRA7,0.808,0.181,0.73,0.172,1.0,0.8
TAF6L,Stim8hr,SAGA/chromatin,GALR2,-1.65,0.433,-1.024,0.341,0.001,0.901
TAF6L,Stim8hr,SAGA/chromatin,TENT5C,1.209,0.195,1.075,0.184,1.0,0.996
TAF6L,Stim8hr,SAGA/chromatin,SLC35F3,1.678,0.336,1.225,0.288,1.0,0.987
TAF6L,Stim8hr,SAGA/chromatin,CCR4,-1.176,0.232,-1.001,0.214,0.0,0.974
TAF6L,Stim8hr,SAGA/chromatin,NUDT14,1.3,0.306,0.995,0.268,1.0,0.937
TAF6L,Stim8hr,SAGA/chromatin,IQGAP3,0.934,0.249,0.777,0.227,1.0,0.801
TAF6L,Stim8hr,SAGA/chromatin,SH2D1A,-0.754,0.105,-0.728,0.104,0.0,0.916
TAF6L,Stim8hr,SAGA/chromatin,PTP4A3,1.15,0.335,0.841,0.287,0.998,0.814
TAF6L,Stim8hr,SAGA/chromatin,SOCS3,0.777,0.109,0.748,0.107,1.0,0.937
TAF6L,Stim8hr,SAGA/chromatin,H2BC21,0.825,0.174,0.751,0.166,1.0,0.841
TAF6L,Stim8hr,SAGA/chromatin,APOBR,0.823,0.157,0.762,0.151,1.0,0.879
TAF6L,Stim8hr,SAGA/chromatin,IL3RA,1.874,0.468,1.094,0.357,0.999,0.923
TAF6L,Stim8hr,SAGA/chromatin,TCN2,3.612,0.443,2.2,0.346,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,MUC1,1.981,0.172,1.806,0.165,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,GSAP,1.639,0.262,1.338,0.237,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,HPDL,-1.224,0.177,-1.111,0.168,0.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,PRR5,-1.193,0.204,-1.051,0.191,0.0,0.993
TAF6L,Stim8hr,SAGA/chromatin,NCR3LG1,1.306,0.274,1.05,0.245,1.0,0.971
TAF6L,Stim8hr,SAGA/chromatin,PLSCR1,0.818,0.107,0.788,0.105,1.0,0.974
TAF6L,Stim8hr,SAGA/chromatin,H1-0,2.038,0.355,1.443,0.299,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,TDRD7,1.233,0.192,1.1,0.182,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,ARMCX4,1.131,0.335,0.829,0.286,0.998,0.803
TAF6L,Stim8hr,SAGA/chromatin,MYO18A,0.711,0.11,0.684,0.108,1.0,0.822
TAF6L,Stim8hr,SAGA/chromatin,ERI2,1.023,0.127,0.972,0.124,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,H2AC11,1.045,0.222,0.901,0.206,1.0,0.938
TAF6L,Stim8hr,SAGA/chromatin,CASP4,0.698,0.094,0.678,0.093,1.0,0.842
TAF6L,Stim8hr,SAGA/chromatin,KIAA1671,1.059,0.165,0.973,0.158,1.0,0.993
TAF6L,Stim8hr,SAGA/chromatin,GZMM,0.869,0.213,0.757,0.199,1.0,0.806
TAF6L,Stim8hr,SAGA/chromatin,CPLANE1,1.032,0.139,0.971,0.135,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,PDCD1LG2,1.914,0.395,1.267,0.322,1.0,0.983
TAF6L,Stim8hr,SAGA/chromatin,KIF13B,0.843,0.09,0.821,0.089,1.0,0.996
TAF6L,Stim8hr,SAGA/chromatin,TOR4A,0.951,0.18,0.86,0.171,1.0,0.946
TAF6L,Stim8hr,SAGA/chromatin,SLC29A3,-0.831,0.175,-0.756,0.167,0.0,0.847
TAF6L,Stim8hr,SAGA/chromatin,TCAF1,0.97,0.171,0.886,0.163,1.0,0.968
TAF6L,Stim8hr,SAGA/chromatin,TPM2,1.408,0.338,1.026,0.288,1.0,0.937
TAF6L,Stim8hr,SAGA/chromatin,ATL1,1.885,0.43,1.175,0.34,1.0,0.959
TAF6L,Stim8hr,SAGA/chromatin,LRBA,-0.688,0.082,-0.673,0.081,0.0,0.86
TAF6L,Stim8hr,SAGA/chromatin,ANKRD13B,-0.939,0.102,-0.909,0.1,0.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,RASGEF1A,-1.877,0.377,-1.282,0.311,0.0,0.987
TAF6L,Stim8hr,SAGA/chromatin,KIFBP,0.869,0.12,0.83,0.117,1.0,0.982
TAF6L,Stim8hr,SAGA/chromatin,PJA2,0.973,0.081,0.953,0.08,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,RTL8A,0.926,0.243,0.776,0.223,1.0,0.805
TAF6L,Stim8hr,SAGA/chromatin,BMPR2,1.127,0.23,0.961,0.213,1.0,0.961
TAF6L,Stim8hr,SAGA/chromatin,FBXO48,0.92,0.173,0.838,0.165,1.0,0.938
TAF6L,Stim8hr,SAGA/chromatin,SAMD9,0.915,0.198,0.811,0.186,1.0,0.887
TAF6L,Stim8hr,SAGA/chromatin,MLLT11,1.112,0.23,0.949,0.212,1.0,0.957
TAF6L,Stim8hr,SAGA/chromatin,MXD3,1.086,0.242,0.911,0.222,1.0,0.93
TAF6L,Stim8hr,SAGA/chromatin,GPSM3,0.84,0.114,0.806,0.112,1.0,0.976
TAF6L,Stim8hr,SAGA/chromatin,NPEPL1,0.798,0.119,0.763,0.117,1.0,0.936
TAF6L,Stim8hr,SAGA/chromatin,TSTD1,0.862,0.091,0.839,0.089,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,HMSD,1.736,0.226,1.488,0.209,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,TRIM16,0.898,0.21,0.785,0.196,1.0,0.846
TAF6L,Stim8hr,SAGA/chromatin,HSBP1L1,1.308,0.373,0.9,0.309,0.998,0.846
TAF6L,Stim8hr,SAGA/chromatin,PATL2,1.643,0.209,1.438,0.196,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,LYRM9,1.283,0.299,0.994,0.263,1.0,0.94
TAF6L,Stim8hr,SAGA/chromatin,B3GALT4,1.222,0.225,1.049,0.208,1.0,0.987
TAF6L,Stim8hr,SAGA/chromatin,USP51,1.122,0.295,0.874,0.26,1.0,0.867
TAF6L,Stim8hr,SAGA/chromatin,CTSO,1.128,0.257,0.928,0.233,1.0,0.929
TAF6L,Stim8hr,SAGA/chromatin,SMIM3,0.98,0.161,0.904,0.154,1.0,0.981
TAF6L,Stim8hr,SAGA/chromatin,GALNT4,0.763,0.125,0.725,0.122,1.0,0.874
TAF6L,Stim8hr,SAGA/chromatin,EPOP,-0.911,0.115,-0.873,0.113,0.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,CYFIP1,1.087,0.143,1.019,0.139,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,H2BC8,1.232,0.353,0.875,0.298,0.998,0.835
TAF6L,Stim8hr,SAGA/chromatin,NATD1,1.15,0.316,0.867,0.275,0.999,0.847
TAF6L,Stim8hr,SAGA/chromatin,H4C2,1.586,0.367,1.102,0.306,1.0,0.955
TAF6L,Stim8hr,SAGA/chromatin,H3C10,0.905,0.211,0.79,0.197,1.0,0.85
ARNT,Stim48hr,Other robust,PLXND1,1.99,0.39,1.329,0.319,1.0,0.99
ARNT,Stim48hr,Other robust,PRKAR2B,1.515,0.42,0.961,0.335,0.998,0.87
ARNT,Stim48hr,Other robust,WDR54,-1.041,0.077,-1.021,0.076,0.0,1.0
ARNT,Stim48hr,Other robust,ITGAL,-0.894,0.079,-0.876,0.078,0.0,1.0
ARNT,Stim48hr,Other robust,TNFRSF12A,-1.54,0.406,-1.001,0.327,0.001,0.898
ARNT,Stim48hr,Other robust,MMP25,-2.623,0.393,-1.744,0.32,0.0,1.0
ARNT,Stim48hr,Other robust,IL32,-1.179,0.111,-1.133,0.109,0.0,1.0
ARNT,Stim48hr,Other robust,PLEKHO1,-0.823,0.154,-0.764,0.148,0.0,0.886
ARNT,Stim48hr,Other robust,SLAMF7,-1.712,0.323,-1.277,0.279,0.0,0.993
ARNT,Stim48hr,Other robust,INPP4A,-0.746,0.105,-0.72,0.103,0.0,0.905
ARNT,Stim48hr,Other robust,NEDD4L,-1.313,0.334,-0.963,0.286,0.0,0.907
ARNT,Stim48hr,Other robust,FOXP3,-1.987,0.335,-1.454,0.287,0.0,0.999
ARNT,Stim48hr,Other robust,DCBLD2,-1.75,0.371,-1.207,0.308,0.0,0.978
ARNT,Stim48hr,Other robust,SLC2A3,-0.844,0.126,-0.802,0.123,0.0,0.961
ARNT,Stim48hr,Other robust,SPAG4,-1.147,0.309,-0.875,0.27,0.001,0.859
ARNT,Stim48hr,Other robust,AHRR,-2.542,0.244,-2.128,0.223,0.0,1.0
ARNT,Stim48hr,Other robust,GPC1,1.142,0.23,0.974,0.212,1.0,0.967
ARNT,Stim48hr,Other robust,PFKP,-0.778,0.049,-0.772,0.049,0.0,1.0
ARNT,Stim48hr,Other robust,PPP2R5B,-0.941,0.147,-0.879,0.142,0.0,0.981
ARNT,Stim48hr,Other robust,HDHD5,-0.928,0.115,-0.889,0.113,0.0,0.996
ARNT,Stim48hr,Other robust,NUCB2,1.219,0.217,1.056,0.202,1.0,0.99
ARNT,Stim48hr,Other robust,SMG6,-1.131,0.136,-1.067,0.132,0.0,1.0
ARNT,Stim48hr,Other robust,TRIB2,-0.917,0.189,-0.821,0.179,0.0,0.906
ARNT,Stim48hr,Other robust,CYBRD1,1.091,0.312,0.827,0.272,0.999,0.813
ARNT,Stim48hr,Other robust,P4HA2,-1.235,0.189,-1.106,0.179,0.0,0.998
ARNT,Stim48hr,Other robust,TP63,-1.794,0.506,-0.976,0.374,0.004,0.853
ARNT,Stim48hr,Other robust,GSDMB,0.715,0.104,0.691,0.102,1.0,0.85
ARNT,Stim48hr,Other robust,ENO1,-0.681,0.04,-0.677,0.04,0.0,0.99
ARNT,Stim48hr,Other robust,CARMIL1,-0.982,0.253,-0.812,0.23,0.0,0.838
ARNT,Stim48hr,Other robust,CPOX,-1.416,0.092,-1.378,0.09,0.0,1.0
ARNT,Stim48hr,Other robust,CLDND1,-1.409,0.073,-1.385,0.072,0.0,1.0
ARNT,Stim48hr,Other robust,IGSF9B,-1.788,0.211,-1.56,0.198,0.0,1.0
ARNT,Stim48hr,Other robust,P2RX5,1.521,0.185,1.369,0.175,1.0,1.0
ARNT,Stim48hr,Other robust,SSH1,-0.954,0.117,-0.913,0.115,0.0,0.998
ARNT,Stim48hr,Other robust,FAM234B,-1.103,0.153,-1.025,0.147,0.0,0.999
ARNT,Stim48hr,Other robust,MGST2,-0.819,0.159,-0.757,0.153,0.0,0.87
ARNT,Stim48hr,Other robust,C3orf18,-0.976,0.233,-0.83,0.215,0.0,0.873
ARNT,Stim48hr,Other robust,OTUB2,-1.738,0.456,-1.035,0.352,0.002,0.899
ARNT,Stim48hr,Other robust,ZBTB25,-0.777,0.08,-0.761,0.079,0.0,0.987
ARNT,Stim48hr,Other robust,CD200,0.896,0.2,0.792,0.188,1.0,0.864
ARNT,Stim48hr,Other robust,UPRT,-1.517,0.143,-1.422,0.139,0.0,1.0
ARNT,Stim48hr,Other robust,GRK3,-0.809,0.089,-0.789,0.088,0.0,0.99
ARNT,Stim48hr,Other robust,TTC28,1.844,0.36,1.295,0.302,1.0,0.991
ARNT,Stim48hr,Other robust,HMOX1,1.225,0.298,0.949,0.263,1.0,0.917
ARNT,Stim48hr,Other robust,ASB2,-3.437,0.561,-1.696,0.394,0.0,0.998
ARNT,Stim48hr,Other robust,SLCO4A1,-1.07,0.135,-1.01,0.131,0.0,0.999
ARNT,Stim48hr,Other robust,RNF24,-0.918,0.132,-0.869,0.128,0.0,0.987
ARNT,Stim48hr,Other robust,PGK1,-1.104,0.069,-1.087,0.069,0.0,1.0
ARNT,Stim48hr,Other robust,HSF4,-1.09,0.262,-0.89,0.237,0.0,0.901
ARNT,Stim48hr,Other robust,BCKDK,-0.671,0.063,-0.662,0.063,0.0,0.889
ARNT,Stim48hr,Other robust,CTSH,1.245,0.33,0.918,0.284,0.999,0.88
ARNT,Stim48hr,Other robust,ATP8B4,-0.749,0.14,-0.704,0.136,0.0,0.81
ARNT,Stim48hr,Other robust,RIPK2,1.565,0.259,1.284,0.235,1.0,0.999
ARNT,Stim48hr,Other robust,BPNT2,-0.724,0.079,-0.709,0.078,0.0,0.944
ARNT,Stim48hr,Other robust,PLAT,-1.806,0.463,-1.062,0.355,0.001,0.91
ARNT,Stim48hr,Other robust,BNIP3L,-1.768,0.101,-1.711,0.099,0.0,1.0
ARNT,Stim48hr,Other robust,PPP1R13L,-0.99,0.267,-0.803,0.24,0.0,0.818
ARNT,Stim48hr,Other robust,GPI,-0.837,0.07,-0.824,0.07,0.0,1.0
ARNT,Stim48hr,Other robust,BBC3,1.008,0.138,0.949,0.134,1.0,0.997
ARNT,Stim48hr,Other robust,PLEKHA8,-0.77,0.132,-0.729,0.128,0.0,0.868
ARNT,Stim48hr,Other robust,KANK1,-1.142,0.333,-0.839,0.285,0.002,0.813
ARNT,Stim48hr,Other robust,ACTA2,0.939,0.204,0.827,0.191,1.0,0.897
ARNT,Stim48hr,Other robust,ABI3,-0.854,0.134,-0.807,0.13,0.0,0.956
ARNT,Stim48hr,Other robust,DUSP3,-1.128,0.213,-0.983,0.199,0.0,0.977
ARNT,Stim48hr,Other robust,ALDOC,-1.375,0.124,-1.31,0.121,0.0,1.0
ARNT,Stim48hr,Other robust,MDK,1.878,0.3,1.452,0.264,1.0,0.999
ARNT,Stim48hr,Other robust,POU2AF1,0.983,0.214,0.855,0.2,1.0,0.912
ARNT,Stim48hr,Other robust,LIN7A,1.993,0.35,1.422,0.296,1.0,0.998
ARNT,Stim48hr,Other robust,IL26,-2.72,0.412,-1.749,0.331,0.0,1.0
ARNT,Stim48hr,Other robust,ENO2,-1.705,0.111,-1.639,0.109,0.0,1.0
ARNT,Stim48hr,Other robust,ADTRP,-2.052,0.287,-1.617,0.255,0.0,1.0
ARNT,Stim48hr,Other robust,VEGFA,-0.956,0.123,-0.911,0.12,0.0,0.997
ARNT,Stim48hr,Other robust,STC2,-1.337,0.245,-1.118,0.224,0.0,0.991
ARNT,Stim48hr,Other robust,ARL6,-0.85,0.147,-0.794,0.142,0.0,0.929
ARNT,Stim48hr,Other robust,FAM162A,-1.122,0.088,-1.095,0.087,0.0,1.0
ARNT,Stim48hr,Other robust,PFKFB4,-2.588,0.168,-2.369,0.161,0.0,1.0
ARNT,Stim48hr,Other robust,HHLA2,1.22,0.247,1.017,0.225,1.0,0.972
ARNT,Stim48hr,Other robust,GBE1,-1.497,0.121,-1.429,0.118,0.0,1.0
ARNT,Stim48hr,Other robust,KLHL24,0.968,0.13,0.917,0.127,1.0,0.996
ARNT,Stim48hr,Other robust,KDM3A,-0.821,0.083,-0.803,0.082,0.0,0.996
ARNT,Stim48hr,Other robust,IL18RAP,1.114,0.283,0.883,0.252,1.0,0.882
ARNT,Stim48hr,Other robust,ABCB6,-0.789,0.121,-0.753,0.118,0.0,0.922
ARNT,Stim48hr,Other robust,SOS1,-1.041,0.121,-0.994,0.118,0.0,1.0
ARNT,Stim48hr,Other robust,EPAS1,2.673,0.438,1.644,0.343,1.0,0.999
ARNT,Stim48hr,Other robust,GADD45A,0.854,0.146,0.799,0.141,1.0,0.935
ARNT,Stim48hr,Other robust,TFAP2E,1.21,0.365,0.844,0.305,0.997,0.802
ARNT,Stim48hr,Other robust,TMEM9,-1.094,0.201,-0.966,0.189,0.0,0.978
ARNT,Stim48hr,Other robust,ADPRS,-0.894,0.082,-0.875,0.081,0.0,1.0
ARNT,Stim48hr,Other robust,LGALS8,-0.707,0.07,-0.696,0.069,0.0,0.946
ARNT,Stim48hr,Other robust,ID3,1.528,0.223,1.315,0.207,1.0,1.0
ARNT,Stim48hr,Other robust,SLC2A1,-1.277,0.104,-1.233,0.102,0.0,1.0
ARNT,Stim48hr,Other robust,IRAG2,0.869,0.141,0.816,0.137,1.0,0.954
ARNT,Stim48hr,Other robust,ELOVL4,1.607,0.438,0.988,0.344,0.998,0.88
ARNT,Stim48hr,Other robust,FOXO3,-0.818,0.176,-0.743,0.168,0.0,0.826
ARNT,Stim48hr,Other robust,GPR68,-2.055,0.171,-1.877,0.163,0.0,1.0
ARNT,Stim48hr,Other robust,MXI1,-1.604,0.153,-1.489,0.148,0.0,1.0
ARNT,Stim48hr,Other robust,SOCS2,0.92,0.129,0.873,0.125,1.0,0.989
ARNT,Stim48hr,Other robust,DUSP4,-1.259,0.136,-1.188,0.132,0.0,1.0
ARNT,Stim48hr,Other robust,RDH10,0.975,0.185,0.876,0.176,1.0,0.951
ARNT,Stim48hr,Other robust,CALD1,-4.377,0.656,-1.82,0.423,0.0,0.998
ARNT,Stim48hr,Other robust,P4HA1,-1.176,0.085,-1.149,0.084,0.0,1.0
ARNT,Stim48hr,Other robust,NR4A1,2.05,0.248,1.707,0.226,1.0,1.0
ARNT,Stim48hr,Other robust,MXD4,0.813,0.159,0.752,0.152,1.0,0.863
ARNT,Stim48hr,Other robust,TOX2,1.937,0.407,1.257,0.328,1.0,0.98
ARNT,Stim48hr,Other robust,IL9R,-2.946,0.503,-1.614,0.372,0.0,0.997
ARNT,Stim48hr,Other robust,NRN1,-2.128,0.605,-0.97,0.408,0.009,0.827
ARNT,Stim48hr,Other robust,RUNX2,-0.88,0.168,-0.806,0.16,0.0,0.916
ARNT,Stim48hr,Other robust,INSIG2,-1.522,0.122,-1.451,0.119,0.0,1.0
ARNT,Stim48hr,Other robust,PSD4,-0.979,0.058,-0.969,0.058,0.0,1.0
ARNT,Stim48hr,Other robust,TNFSF9,1.864,0.322,1.393,0.278,1.0,0.998
ARNT,Stim48hr,Other robust,CD70,1.124,0.254,0.929,0.231,1.0,0.932
ARNT,Stim48hr,Other robust,ZBTB1,-0.848,0.077,-0.832,0.076,0.0,0.999
ARNT,Stim48hr,Other robust,PLEKHG3,-1.197,0.268,-0.969,0.242,0.0,0.944
ARNT,Stim48hr,Other robust,DYNC2I1,-0.858,0.139,-0.807,0.135,0.0,0.95
ARNT,Stim48hr,Other robust,SLC35E1,-0.7,0.066,-0.69,0.066,0.0,0.944
ARNT,Stim48hr,Other robust,KDM4B,-1.099,0.094,-1.068,0.093,0.0,1.0
ARNT,Stim48hr,Other robust,FGL2,1.141,0.231,0.971,0.213,1.0,0.965
ARNT,Stim48hr,Other robust,MYO1B,-1.754,0.25,-1.456,0.228,0.0,1.0
ARNT,Stim48hr,Other robust,TWSG1,0.752,0.122,0.717,0.119,1.0,0.867
ARNT,Stim48hr,Other robust,MTUS1,1.45,0.312,1.101,0.272,1.0,0.971
ARNT,Stim48hr,Other robust,EGLN3,-2.521,0.34,-1.831,0.289,0.0,1.0
ARNT,Stim48hr,Other robust,CRACR2A,-0.945,0.109,-0.91,0.107,0.0,0.999
ARNT,Stim48hr,Other robust,ULBP2,2.205,0.415,1.412,0.332,1.0,0.994
ARNT,Stim48hr,Other robust,PRR7,-1.01,0.165,-0.928,0.158,0.0,0.985
ARNT,Stim48hr,Other robust,MGAT1,-0.719,0.064,-0.71,0.063,0.0,0.976
ARNT,Stim48hr,Other robust,PPARG,2.085,0.441,1.275,0.345,1.0,0.977
ARNT,Stim48hr,Other robust,TRIM22,0.942,0.177,0.854,0.169,1.0,0.945
ARNT,Stim48hr,Other robust,PER2,-0.912,0.179,-0.826,0.171,0.0,0.921
ARNT,Stim48hr,Other robust,MTSS2,2.438,0.609,1.104,0.409,0.996,0.897
ARNT,Stim48hr,Other robust,ALOX5AP,0.88,0.217,0.763,0.202,1.0,0.811
ARNT,Stim48hr,Other robust,MYO18B,-2.586,0.43,-1.613,0.339,0.0,0.999
ARNT,Stim48hr,Other robust,TMTC1,3.105,0.646,1.314,0.42,0.999,0.959
ARNT,Stim48hr,Other robust,BMAL1,1.118,0.125,1.063,0.122,1.0,1.0
ARNT,Stim48hr,Other robust,AMPD3,-0.757,0.146,-0.708,0.141,0.0,0.808
ARNT,Stim48hr,Other robust,TSPAN2,2.03,0.377,1.386,0.312,1.0,0.995
ARNT,Stim48hr,Other robust,GSTM3,-1.099,0.199,-0.973,0.187,0.0,0.981
ARNT,Stim48hr,Other robust,SPIRE1,0.996,0.187,0.893,0.178,1.0,0.959
ARNT,Stim48hr,Other robust,SLC43A3,-0.897,0.116,-0.859,0.114,0.0,0.992
ARNT,Stim48hr,Other robust,HILPDA,-2.66,0.218,-2.303,0.203,0.0,1.0
ARNT,Stim48hr,Other robust,RAB11FIP5,-1.454,0.18,-1.314,0.171,0.0,1.0
ARNT,Stim48hr,Other robust,FBXL8,-0.913,0.165,-0.839,0.158,0.0,0.946
ARNT,Stim48hr,Other robust,CCDC102A,-0.868,0.157,-0.803,0.151,0.0,0.925
ARNT,Stim48hr,Other robust,KCNK1,-1.425,0.396,-0.943,0.322,0.002,0.867
ARNT,Stim48hr,Other robust,EGLN1,-1.232,0.076,-1.21,0.075,0.0,1.0
ARNT,Stim48hr,Other robust,ITM2C,-2.277,0.205,-2.001,0.192,0.0,1.0
ARNT,Stim48hr,Other robust,DNAJB2,-0.73,0.118,-0.698,0.116,0.0,0.836
ARNT,Stim48hr,Other robust,RCBTB2,-2.737,0.311,-2.079,0.271,0.0,1.0
ARNT,Stim48hr,Other robust,AOAH,-1.636,0.272,-1.318,0.244,0.0,0.999
ARNT,Stim48hr,Other robust,MYO1G,-1.063,0.058,-1.052,0.058,0.0,1.0
ARNT,Stim48hr,Other robust,BIN1,-0.7,0.106,-0.675,0.105,0.0,0.805
ARNT,Stim48hr,Other robust,ENPP2,2.179,0.374,1.495,0.31,1.0,0.998
ARNT,Stim48hr,Other robust,TUBB2A,1.73,0.238,1.46,0.219,1.0,1.0
ARNT,Stim48hr,Other robust,CGREF1,-1.17,0.32,-0.877,0.277,0.001,0.854
ARNT,Stim48hr,Other robust,CYP1B1,-2.849,0.396,-1.885,0.322,0.0,1.0
ARNT,Stim48hr,Other robust,MYOF,-1.493,0.19,-1.336,0.18,0.0,1.0
ARNT,Stim48hr,Other robust,FAM117B,-0.901,0.183,-0.812,0.174,0.0,0.904
ARNT,Stim48hr,Other robust,FAM13A,-1.566,0.304,-1.204,0.266,0.0,0.99
ARNT,Stim48hr,Other robust,HERC3,-1.029,0.119,-0.983,0.117,0.0,1.0
ARNT,Stim48hr,Other robust,RASGEF1B,1.482,0.321,1.108,0.278,1.0,0.97
ARNT,Stim48hr,Other robust,GPAT3,-0.924,0.228,-0.79,0.211,0.0,0.835
ARNT,Stim48hr,Other robust,CCNG2,-0.86,0.128,-0.816,0.125,0.0,0.967
ARNT,Stim48hr,Other robust,CD27,-1.113,0.222,-0.96,0.206,0.0,0.966
ARNT,Stim48hr,Other robust,ITGB7,-0.824,0.119,-0.787,0.116,0.0,0.959
ARNT,Stim48hr,Other robust,LPAR6,-1.685,0.163,-1.551,0.156,0.0,1.0
ARNT,Stim48hr,Other robust,RB1,-0.684,0.089,-0.667,0.088,0.0,0.823
ARNT,Stim48hr,Other robust,RAB20,-1.88,0.255,-1.55,0.232,0.0,1.0
ARNT,Stim48hr,Other robust,PCSK6,-1.291,0.378,-0.881,0.312,0.002,0.829
ARNT,Stim48hr,Other robust,NOL3,-1.132,0.169,-1.036,0.161,0.0,0.997
ARNT,Stim48hr,Other robust,MEAK7,-1.063,0.206,-0.933,0.193,0.0,0.964
ARNT,Stim48hr,Other robust,IRF8,1.041,0.284,0.824,0.253,0.999,0.827
ARNT,Stim48hr,Other robust,SLC16A3,-2.009,0.114,-1.927,0.112,0.0,1.0
ARNT,Stim48hr,Other robust,WDR45B,-1.167,0.108,-1.125,0.106,0.0,1.0
ARNT,Stim48hr,Other robust,RCN3,-1.158,0.268,-0.938,0.241,0.0,0.928
ARNT,Stim48hr,Other robust,C1orf162,1.73,0.368,1.199,0.307,1.0,0.977
ARNT,Stim48hr,Other robust,RGS16,0.863,0.189,0.773,0.179,1.0,0.854
ARNT,Stim48hr,Other robust,CTSK,-2.655,0.368,-1.84,0.307,0.0,1.0
